Start_Time,End_Time,Facility_Code,Participant_Code,Status,Reason,Outage_MW,Recovery_Time_Minutes,Description
25/07/2017 11:00:00,25/07/2017 11:00:00,BW1_GREENWATERS_G2,GW,Approved,Forced,25.694,0,Operational Issues caused real time forced outage.
25/07/2017 10:00:00,25/07/2017 10:00:00,BW1_GREENWATERS_G2,GW,Approved,Forced,28.811,0,Operational Issues caused real time forced outage.
8/08/2017 09:00:00,8/08/2017 10:30:00,PJRH_GT11,PJRH,Approved,Opportunistic Maintenance (Planned),127,0,ODOM
11/08/2017 00:00:00,7/10/2017 17:00:00,COLLGAR_WF1,COLLGAR,Approved,Scheduled (Planned),243.956,39,Steam Turbine & Gas Turbine Outage
11/08/2017 00:00:00,7/10/2017 17:00:00,COLLGAR_WF1,COLLGAR,Cancelled By Market Participant,Scheduled (Planned),243.956,39,Steam Turbine & Gas Turbine Outage
24/07/2017 16:00:00,24/07/2017 16:00:00,BW1_GREENWATERS_G2,GW,Approved,Forced,159.554,0,Operational Issues caused real time forced outage.
24/07/2017 11:30:00,24/07/2017 11:30:00,BW1_GREENWATERS_G2,GW,Approved,Forced,161.079,0,Operational Issues caused real time forced outage.
23/07/2017 15:30:00,24/07/2017 07:30:00,STHRNCRS_EG,STHRNCRS,Approved,Forced,10,,"Unexpected behind-the-fence load demand, which reduced the available export capacity.  "
11/08/2017 22:00:00,12/08/2017 11:30:00,PMC_AG,PMC,Approved,Scheduled (Planned),335,39,Main Cooling Water Debris Filter gearbox repair.
17/11/2017 22:00:00,24/11/2017 21:30:00,PMC_AG,PMC,Approved,Scheduled (Planned),335,39,Major Annual Outage (B Inspection)
6/10/2017 22:00:00,3/11/2017 21:30:00,BW1_GREENWATERS_G2,GW,Approved,Scheduled (Planned),217,39,BW1 annual statutory outage.
28/07/2017 15:30:00,28/07/2017 16:00:00,TIWEST_COG1,TRMOS,Approved,Forced,34.67,,Deviation from dispatch
26/07/2017 08:30:00,26/07/2017 09:00:00,TIWEST_COG1,TRMOS,Approved,Forced,30.32,,Deviation from dispatch
25/07/2017 10:00:00,25/07/2017 10:30:00,TIWEST_COG1,TRMOS,Approved,Forced,34.51,,Deviation from dispatch
24/07/2017 15:30:00,24/07/2017 16:00:00,TIWEST_COG1,TRMOS,Approved,Forced,31.32,,Deviation from dispatch
4/08/2017 21:00:00,4/08/2017 21:00:00,KORL_GT3,KORL,Approved,Forced,20.02,0,FO
4/08/2017 17:30:00,4/08/2017 20:30:00,KORL_GT3,KORL,Approved,Forced,100.1,0,FO
7/08/2017 10:30:00,7/08/2017 13:00:00,KORL_GT3,KORL,Approved,Opportunistic Maintenance (Planned),100.1,1,Lube clean
7/08/2017 10:00:00,7/08/2017 10:30:00,KORL_GT3,KORL,Cancelled By Market Participant,Opportunistic Maintenance (Planned),100.1,1,Lube clean
25/07/2017 08:00:00,25/07/2017 08:30:00,COLLGAR_WF1,COLLGAR,Approved,Forced,24,,CG3 Forced Outage
29/09/2017 22:30:00,6/10/2017 07:30:00,BW1_GREENWATERS_G2,GW,Cancelled By Market Participant,Scheduled (Planned),217,39,BW1 annual statutory outage
31/07/2017 18:00:00,31/07/2017 22:00:00,MELK_G7,MELK,Approved,Forced,6,0,Condenser and cooling tower performance
31/07/2017 18:00:00,31/07/2017 22:00:00,MELK_G7,MELK,Approved,Forced,4,0,West Boiler feed pump Outage
31/07/2017 18:00:00,31/07/2017 19:30:00,MELK_G7,MELK,Approved,Forced,6,0,Centre CW pump outage
31/07/2017 09:30:00,31/07/2017 14:00:00,MELK_G7,MELK,Approved,Forced,10,0,Centre CW pump outage
21/07/2017 06:30:00,21/07/2017 06:30:00,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,42,,TES Report - constrained off MW's.
2/08/2017 20:00:00,2/08/2017 21:30:00,ENRG_KALGOORLIE_GT3,ENRG,Approved,Consequential,5,0,Consequential outage due to MTU failure in Regans Substation. Generator main switch tripped by Western Power.
2/08/2017 20:00:00,2/08/2017 21:30:00,ENRG_KALGOORLIE_GT3,ENRG,Approved,Consequential,5,0,Consequential outage due to MTU failure in Regans Substation
25/07/2017 08:00:00,26/07/2017 07:30:00,BW1_GREENWATERS_G2,GW,Approved,Forced,5,0,Operational Issues caused real time forced outage.
24/07/2017 16:00:00,25/07/2017 07:30:00,BW1_GREENWATERS_G2,GW,Approved,Forced,5,0,Operational Issues caused real time forced outage.
24/07/2017 08:00:00,24/07/2017 11:30:00,BW1_GREENWATERS_G2,GW,Approved,Forced,5,0,Operational Issues caused real time forced outage.
11/08/2017 22:00:00,12/08/2017 13:00:00,PMC_AG,PMC,Cancelled By Market Participant,Scheduled (Planned),335,39,Main Cooling Water Debris Filter gearbox repair.
27/07/2017 23:00:00,28/07/2017 14:30:00,BW1_GREENWATERS_G2,GW,Approved,Forced,212,0,Operational Issues caused real time forced outage.
25/07/2017 11:00:00,25/07/2017 11:00:00,BW1_GREENWATERS_G2,GW,Cancelled By Market Participant,Forced,30.757,0,Operational Issues caused real time forced outage.
25/07/2017 10:00:00,25/07/2017 10:00:00,BW1_GREENWATERS_G2,GW,Cancelled By Market Participant,Forced,33.873,0,Operational Issues caused real time forced outage.
29/07/2017 13:00:00,29/07/2017 13:00:00,BW1_GREENWATERS_G2,GW,Approved,Forced,32.865,0,Operational Issues caused real time forced outage.
29/07/2017 12:30:00,29/07/2017 12:30:00,BW1_GREENWATERS_G2,GW,Approved,Forced,30.354,0,Operational Issues caused real time forced outage.
29/07/2017 07:00:00,29/07/2017 07:00:00,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,8,,TES Report - constrained off MW's.
29/07/2017 16:00:00,29/07/2017 16:00:00,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,17,,TES Report - constrained off MW's.
26/07/2017 19:00:00,26/07/2017 19:00:00,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,7,,TES Report - constrained off MW's.
